Begin date/time is: Mon Mar 20 21:45:43 2017
        used time is 0 s 0 ms.
line num is :113
0   6    0.50, 0.0010
1   9    0.50, 0.0020
2   8    0.50, 0.0030
3   11   0.50, 0.0040
4   9    0.50, 0.0050
5   15   0.50, 0.0060
6   10   0.50, 0.0070
7   13   0.50, 0.0080
8   6    0.60, 0.0010
9   10   0.60, 0.0020
10  9    0.60, 0.0030
11  10   0.60, 0.0040
12  12   0.60, 0.0050
13  13   0.60, 0.0060
14  12   0.60, 0.0070
15  12   0.60, 0.0080
16  6    0.70, 0.0010
17  10   0.70, 0.0020
18  11   0.70, 0.0030
19  12   0.70, 0.0040
20  13   0.70, 0.0050
21  12   0.70, 0.0060
22  10   0.70, 0.0070
23  14   0.70, 0.0080
24  5    0.80, 0.0010
25  10   0.80, 0.0020
26  13   0.80, 0.0030
27  10   0.80, 0.0040
28  13   0.80, 0.0050
29  14   0.80, 0.0060
30  16   0.80, 0.0070
31  17   0.80, 0.0080
32  7    0.90, 0.0010
33  11   0.90, 0.0020
34  14   0.90, 0.0030
35  11   0.90, 0.0040
36  16   0.90, 0.0050
37  15   0.90, 0.0060
38  14   0.90, 0.0070
39  11   0.90, 0.0080

BEST
40  17   0.80, 0.0080
End date/time is: Mon Mar 20 21:48:21 2017
        used time is 157 s 652 ms.
