Begin date/time is: Mon Mar 20 21:49:16 2017
        used time is 0 s 0 ms.
line num is :110
0   4    0.50, 0.0010
1   11   0.50, 0.0020
2   12   0.50, 0.0030
3   13   0.50, 0.0040
4   14   0.50, 0.0050
5   16   0.50, 0.0060
6   17   0.50, 0.0070
7   17   0.50, 0.0080
8   3    0.60, 0.0010
9   13   0.60, 0.0020
10  14   0.60, 0.0030
11  14   0.60, 0.0040
12  15   0.60, 0.0050
13  15   0.60, 0.0060
14  14   0.60, 0.0070
15  13   0.60, 0.0080
16  5    0.70, 0.0010
17  10   0.70, 0.0020
18  15   0.70, 0.0030
19  15   0.70, 0.0040
20  12   0.70, 0.0050
21  12   0.70, 0.0060
22  15   0.70, 0.0070
23  14   0.70, 0.0080
24  6    0.80, 0.0010
25  12   0.80, 0.0020
26  15   0.80, 0.0030
27  15   0.80, 0.0040
28  14   0.80, 0.0050
29  17   0.80, 0.0060
30  17   0.80, 0.0070
31  16   0.80, 0.0080
32  8    0.90, 0.0010
33  12   0.90, 0.0020
34  14   0.90, 0.0030
35  15   0.90, 0.0040
36  15   0.90, 0.0050
37  14   0.90, 0.0060
38  17   0.90, 0.0070
39  14   0.90, 0.0080

BEST
40  17   0.50, 0.0070
End date/time is: Mon Mar 20 21:51:44 2017
        used time is 147 s 401 ms.
